GT SKU,New SKU,350 Loc,Warehouse Qty,Forecasted Quantity,Item Cube,CuFt/Day
26265961,59307024,0,39,413,33.75,0.5
26360572,60692992,0,995,411,24.375,0.4
26400314,60618218,0,2078,408,26.8125,0.4
26437366,61160962,0,2712,407,56.25,0.9
26440731,60870290,0,3779,401,0.8999,0
26232764,59325867,0,0,401,36,0.6
26531863,62764312,0,2779,396,-1,0
26480833,62124226,0,1,395,-1,0
26267873,59972162,0,2397,392,20,0.3
26267869,59972161,0,2145,392,20,0.3
26555563,62747575,0,4752,389,-1,0
26536766,62764278,0,4252,389,-1,0
26452992,61851892,0,1942,387,81.2812,1.2
26437364,61160960,0,2921,386,56.25,0.8
26360582,60692995,1,3684,385,23.4375,0.3
26531860,62764307,0,2335,383,81.2812,1.2
26480844,61170943,0,931,376,6.5,0.1
26437376,61160972,1,6938,376,31.5,0.5
26401709,#N/A,0,0,372,-1,0
26537636,62764331,0,4670,367,-1,0
26526089,62898967,0,10560,365,-1,0
26526281,62710318,0,1381,363,27.5,0.4
26250874,#N/A,0,0,358,-1,0
26255272,59294046,0,3105,357,23.4375,0.3
26439826,62348194,0,3220,351,-1,0
26544280,62804982,0,4650,351,81.28,1.1
26480738,61082078,0,0,350,70,0.9
26353240,60379929,0,3499,349,29.9062,0.4
26139371,59299657,0,12912,347,24.375,0.3
26299770,60840949,0,796,347,23.4375,0.3
23748319,59288833,0,1508,346,35.4375,0.5
26480509,62022656,0,2160,346,-1,0
26397467,60665652,0,22,342,29.9062,0.4
26577313,#N/A,0,0,342,-1,0
26244614,59305282,0,7293,341,23.4375,0.3
26440736,60870286,0,1340,339,0.8999,0
26394009,61787976,0,1589,338,8.75,0.1
26354087,62176185,0,2160,335,-1,0
26440738,60870288,0,3579,334,0.8999,0
26475540,62462425,0,8260,333,-1,0
26466939,61796862,1,3377,333,7.875,0.1
26452995,61851896,0,1746,332,81.2812,1
26494224,62454002,0,3528,327,-1,0
26244608,59329948,0,5034,325,24.375,0.3
26459584,61269067,0,3058,325,56,0.7
26536753,62764315,0,5697,324,-1,0
26531881,62764324,0,5647,324,-1,0
26537634,62764330,0,3809,324,81.28,1
26531862,62764311,0,2316,324,-1,0
26537640,62764333,0,1920,324,81.28,1
26531867,62764274,0,1373,324,-1,0
26164741,59295749,0,708,324,24.375,0.3
26440739,60870281,0,3462,323,0.8999,0
26353266,60379925,0,1349,323,38.6718,0.5
26233995,59331266,0,171,321,23.4375,0.3
24644613,59299748,0,31,321,28.125,0.3
26327834,59303557,0,1165,321,25,0.3
26480728,61250874,0,803,318,75,0.9
26440735,60870280,0,3631,317,0.8999,0
26416239,60499921,1,1144,317,40.5,0.5
26291742,59298679,0,113,316,80.7576,1
26282786,59327895,0,3823,313,40.6875,0.5
26282784,59364273,1,2715,313,48,0.6
26447044,62083061,0,1,309,23.4375,0.3
26440732,60870291,0,1871,306,0.8999,0
26526285,62699836,0,3410,306,27.5,0.3
26518048,62898972,0,30,306,-1,0
26412376,61023880,0,2328,305,12.6562,0.1
26536757,62764319,0,2799,302,-1,0
26498943,62454001,0,1152,302,-1,0
26529408,62898955,0,10560,301,-1,0
26529149,62425878,0,15840,299,-1,0
26529153,62425880,0,14080,299,-1,0
26337750,61652206,0,3758,299,23.4375,0.3
26480511,62022650,0,1440,296,29.9062,0.3
26393023,60594778,0,450,294,81.2813,0.9
26502497,61359004,0,1013,293,4,0
26487463,62332580,0,2016,293,-1,0
26526090,62898957,0,5280,292,-1,0
26393541,60656285,0,3757,292,23.4375,0.3
26480846,61170940,0,620,291,17.5,0.2
26432481,61205547,0,2925,291,56,0.6
26419455,60665706,0,0,290,29.9062,0.3
26414645,60846460,0,491,289,32.9062,0.4
26499650,62332579,0,1992,288,-1,0
26411313,61595895,0,0,288,-1,0
26498930,62454011,0,1692,287,-1,0
26480830,62124225,0,5,287,40.69,0.4
26526091,62898958,0,10560,286,-1,0
26273224,59296324,0,2553,286,28.5312,0.3
26360573,60692993,0,558,286,24.375,0.3
26440734,60870279,0,1771,284,0.8999,0
26480848,61170942,0,853,284,15,0.2
26444376,60933151,0,17,283,45,0.5
26490256,62462435,0,6912,281,-1,0
26544921,62764309,0,1861,281,81.28,0.9
26545344,62764291,0,4881,281,81.2812,0.9
26327825,59300487,0,3563,280,25,0.3
26327823,59310066,0,0,280,27.5,0.3
26475521,61787968,0,0,279,-1,0
26518378,62099794,0,1202,278,0.8999,0
26518040,62898971,0,3420,277,-1,0
26453176,61851893,0,887,276,81.2813,0.9
26526086,62647532,0,4368,276,-1,0
26466941,61796864,0,3839,275,7.875,0.1
26455072,61674213,0,851,275,29.9062,0.3
26353262,60665714,0,555,274,58.5,0.6
26353500,60379926,0,403,274,36.5625,0.4
26302252,59302676,0,4214,271,7.8125,0.1
26416227,60583840,0,617,271,33.25,0.3
26186674,59363968,0,0,270,7.5,0.1
26526289,62699835,0,1001,268,25,0.3
26487601,61170941,0,787,267,6,0.1
26360583,60692988,0,1769,267,23.4375,0.2
26487464,62332581,0,3456,267,-1,0
26533484,62898956,0,14080,267,-1,0
26481809,62124194,0,2592,266,-1,0
26299750,60344171,0,839,266,24.375,0.2
26286009,59297271,0,0,259,12,0.1
26529409,62898968,0,12320,259,-1,0
26544925,62764310,0,3342,259,81.2812,0.8
26413917,60898642,0,1073,258,23.4375,0.2
26544281,62804980,0,2681,257,-1,0
26337746,60344169,0,5692,256,-1,0
26536755,62764317,0,1879,256,81.2812,0.8
26437369,61160974,0,3789,256,56.25,0.5
26186680,59363425,0,0,254,7,0.1
26555108,62902623,0,3869,251,-1,0
26397112,60955849,0,1633,251,7.8125,0.1
26308662,60020314,0,5,251,5.0625,0
26489913,#N/A,0,0,251,-1,0
26440733,60870287,0,2574,250,0.9,0
26440740,60870282,0,2105,250,0.8999,0
26440737,60870285,0,1118,250,0.8999,0
26480734,61082077,0,288,250,15,0.1
26544291,62830662,0,3744,249,31.5,0.3
26489720,62387166,0,443,248,81.2812,0.8
26519763,62176169,0,2655,248,56.25,0.5
26437372,61160976,0,2432,247,26.4687,0.2
26412620,61002129,0,1910,247,26.8125,0.3
26475568,61082079,0,840,246,14.875,0.1
26531869,62764277,0,1896,244,81.2812,0.8
26356023,60721771,0,660,244,11.8125,0.1
26475566,61287481,0,447,244,29.75,0.3
26353250,60379955,0,643,243,15.625,0.1
26337474,62030998,0,6292,242,-1,0
26416225,60583839,0,738,241,29.75,0.3
26327833,59300491,0,0,241,27.5,0.3
26414643,60828069,0,0,241,29.9062,0.3
26529150,62425879,0,15840,239,-1,0
26448199,62409017,0,9978,239,28.125,0.3
26448196,62409029,0,8626,239,28.125,0.3
26536758,62764326,0,3760,238,-1,0
