id	Year	Author	Title	Corpus
407	2010	"Laurie,Victoria"	AGlimpseofEvil	MY
408	2010	"McKinlay,Jenn"	SprinklewithMurder	MY
409	2010	"Robotham,Michael"	BleedForMe	MY
410	2010	"Webber,Heather"	TrulyMadly	MY
411	2011	"Aaronovitch,Ben"	MidnightRiot	MY
412	2011	"Bolton,Sharon"	NowYouSeeMe	MY
413	2011	"McKinlay,Jenn"	BooksCanbeDeceiving	MY
414	2011	"OConnell,Carol"	TheChalkGirl	MY
415	2011	"Sandford,John"	BuriedPrey	MY
416	2011	"Slaughter,Karin"	Fallen	MY
417	2011	"SpencerFleming,Julia"	OneWasASoldier	MY
418	2011	"Stevens,Chevy"	NeverKnowing	MY
419	2011	"Vicary,Tim"	BoldCounsel	MY
420	2011	"Watson,SJ"	BeforeIGotoSleep	MY
421	2012	"Barclay,Linwood"	TrustYourEyes	MY
422	2012	"Burke,JamesLee"	CreoleBelle	MY
423	2012	"Crais,Robert"	Taken	MY
424	2012	"Elliot,Kendra"	Hidden	MY
425	2012	"Fforde,Jasper"	TheWomanWhoDiedaLot	MY
426	2012	"Frazier,LA"	BackontheMarket	MY
427	2012	"French,Nicci"	BlueMonday	MY
428	2012	"George,Elizabeth"	TheEdgeofNowhere	MY
429	2012	"Hobbs,Roger"	Ghostman	MY
430	2012	"Kellerman,Jonathan"	Victims	MY
431	2012	"McPherson,Catriona"	DandyGilver	MY
432	2012	"Morton,Kate"	TheSecretKeeper	MY
433	2012	"Rankin,Ian"	StandinginAnotherMansGrave	MY
434	2012	"Robotham,Michael"	SayYoureSorry	MY
435	2012	"Ronald,RD"	TheZombieRoom	MY
436	2012	"Runcie,James"	SidneyChambersandTheShadow	MY
437	2012	"Scottoline,Lisa"	ComeHome	MY
438	2012	"Shapiro,BA"	TheArtForger	MY
439	2012	"Sloan,Robin"	MrPenumbras24Hour	MY
440	2012	"Swank,DeniseGrover"	TwentyNineandaHalfReasons	MY
441	2012	"Unger,Lisa"	Heartbroken	MY
442	2013	"Beukes,Lauren"	TheShiningGirls	MY
443	2013	"Busby,Sian"	ACommonplaceKilling	MY
444	2013	"Connelly,Michael"	TheGodsofGuilt	MY
445	2013	"Cornwell,Patricia"	Dust	MY
446	2013	"Coulter,Catherine"	Bombshell	MY
447	2013	"Crais,Robert"	Suspect	MY
448	2013	"Crouch,Blake"	Wayward	MY
449	2013	"Fairstein,Linda"	DeathAngel	MY
450	2013	"French,Nicci"	TuesdaysGone	MY
451	2013	"Jio,Sarah"	TheLastCamellia	MY
452	2013	"Krueger,WilliamKent"	OrdinaryGrace	MY
453	2013	"McCreight,Kimberly"	ReconstructingAmelia	MY
454	2013	"O'Connell,Carol"	ItHappensintheDark	MY
455	2013	"Pessl,Marisha"	NightFilm	MY
456	2013	"Phillips,JayneAnne"	QuietDell	MY
457	2013	"Quick,Amanda"	TheMysteryWoman	MY
458	2013	"Raimondo,Lynne"	DantesWood	MY
459	2013	"Rankin,Ian"	SaintsoftheShadowBible	MY
460	2013	"Reichs,Kathy"	BonesoftheLost	MY
461	2013	"Robertson,Imogen"	TheParisWinter	MY
462	2013	"Smith,AlexanderMccall"	TheMinorAdjustmentBeauty	MY
463	2013	"SpencerFleming,Julia"	ThroughtheEvilDays	MY
464	2013	"Swank,DeniseGrover"	TwentyEightandAHalfWishes	MY
465	2013	"Tyson,Wendy"	KillerImage	MY
466	2013	"Winspear,Jacqueline"	LeavingEverythingMostLoved	MY
467	2013	"Zander,Joakim"	TheSwimmer	MY
468	2013	"Ziskin,JamesW"	Styx&Stones	MY
469	2014	"Abani,Chris"	TheSecretHistoryofLasVegas	MY
470	2014	"AdlerOlsen,Jussi"	TheMarcoEffect	MY
471	2014	"Atkins,Ace"	RobertBParkersCheapShot	MY
472	2014	"Barclay,Linwood"	NoSafeHouse	MY
473	2014	"Bouman,Tom"	DryBonesintheValley	MY
474	2014	"Box,CJ"	StoneCold	MY
475	2014	"Bradley,Alan"	TheDeadinTheirVaulted	MY
476	2014	"Brown,Sandra"	MeanStreak	MY
477	2014	"Casey,Jane"	TheStrangerYouKnow	MY
478	2014	"Cash,Wiley"	ThisDarkRoadtoMercy	MY
479	2014	"Coben,Harlan"	MissingYou	MY
480	2014	"Connelly,Michael"	TheBurningRoom	MY
481	2014	"Connolly,John"	TheWolfinWinter	MY
482	2014	"Cornwell,Patricia"	FleshandBlood	MY
483	2014	"Dahl,Julia"	InvisibleCity	MY
484	2014	"Deaver,Jeffery"	TheBoneCollector	MY
485	2014	"Donoghue,Emma"	FrogMusic	MY
486	2014	"Dougherty,Victoria"	TheBoneChurch	MY
487	2014	"Dugoni,Robert"	MySistersGrave	MY
488	2014	"Eskens,Allen"	TheLifeWeBury	MY
